date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note
13-01-2023,Karnataka,Chamarajanagar,1,PM10,44,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Uttar Pradesh,Moradabad,6,PM2.5,120,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Tamil Nadu,Chennai,8,"PM2.5,PM10",106,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Andhra Pradesh,Visakhapatnam,1,PM2.5,191,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Karnal,1,PM2.5,134,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Bihar,Katihar,1,PM2.5,435,Severe,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Maharashtra,Nashik,1,PM2.5,113,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Odisha,Talcher,1,PM2.5,227,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Odisha,Baripada,1,PM2.5,261,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Karnataka,Mangalore,1,PM2.5,136,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Bihar,Bettiah,1,PM2.5,364,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Kerala,Kollam,1,PM10,116,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Rajasthan,Jodhpur,1,PM2.5,161,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Bihar,Sasaram,1,PM2.5,358,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Punjab,Mandi Gobindgarh,1,PM2.5,123,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Karnataka,Ramanagara,1,PM2.5,89,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Maharashtra,Kalyan,1,PM10,165,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Uttar Pradesh,Khurja,1,PM2.5,205,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Punjab,Amritsar,1,PM2.5,247,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Bihar,Hajipur,1,PM10,186,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Madhya Pradesh,Gwalior,3,PM2.5,282,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Gujarat,Nandesari,1,PM2.5,64,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Punjab,Jalandhar,1,PM2.5,276,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Karnataka,Bagalkot,1,PM10,50,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Uttar Pradesh,Bareilly,1,PM2.5,105,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Karnataka,Davanagere,1,PM2.5,93,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Kurukshetra,1,PM2.5,204,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Madhya Pradesh,Ratlam,1,PM10,131,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Gujarat,Gandhi Nagar,1,PM10,175,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Maharashtra,Solapur,1,PM10,142,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Kerala,Kochi,1,PM2.5,165,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Karnataka,Chikkamagaluru,1,PM10,44,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Odisha,Brajrajnagar,1,PM10,136,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Fatehabad,1,PM2.5,183,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Uttar Pradesh,Hapur,1,PM2.5,124,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Karnataka,Gadag,1,O3,86,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Rajasthan,Bhiwadi,1,PM2.5,239,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Gujarat,Vatva,1,PM2.5,259,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Haryana,Sirsa,1,PM2.5,211,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Meghalaya,Shillong,1,PM2.5,67,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Odisha,Suakati,1,O3,267,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Sikkim,Gangtok,1,PM2.5,51,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Puducherry,Puducherry,1,PM10,66,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Madhya Pradesh,Pithampur,1,PM10,148,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Maharashtra,Thane,1,PM10,125,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Bihar,Darbhanga,1,PM2.5,354,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Bihar,Chhapra,1,PM2.5,370,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Uttar Pradesh,Firozabad,2,"PM2.5,PM10",113,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Karnataka,Hassan,1,PM10,82,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
13-01-2023,Rajasthan,Alwar,1,PM2.5,254,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Tamil Nadu,Dindigul,1,NO2,249,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Bihar,Motihari,1,PM10,266,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Andhra Pradesh,Tirupati,2,PM2.5,98,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Karnataka,Bengaluru,9,"PM2.5,O3",126,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Gujarat,Ahmedabad,1,PM10,89,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Andhra Pradesh,Chittoor,1,O3,61,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Bihar,Kishanganj,1,PM2.5,300,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Haryana,Sirsa,1,PM2.5,217,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Tamil Nadu,Thoothukudi,1,O3,71,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Odisha,Rourkela,1,PM10,167,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Karnataka,Shivamogga,1,PM10,43,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Tamil Nadu,Vellore,1,PM2.5,98,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Haryana,Bhiwani,1,PM2.5,289,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Karnataka,Koppal,1,CO,87,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,West Bengal,Durgapur,1,PM2.5,172,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Madhya Pradesh,Sagar,2,"PM2.5,O3",77,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Karnataka,Yadgir,1,PM2.5,110,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Rajasthan,Kota,1,PM10,108,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Punjab,Rupnagar,1,PM10,239,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Arunachal Pradesh,Naharlagun,1,PM2.5,40,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Karnataka,Chamarajanagar,1,PM10,41,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Jharkhand,Jorapokhar,1,PM10,157,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Kerala,Kollam,1,PM10,116,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Karnataka,Mysuru,1,PM10,58,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Himachal Pradesh,Baddi,1,PM2.5,387,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Madhya Pradesh,Damoh,1,PM10,47,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Uttar Pradesh,Bulandshahr,1,PM2.5,197,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Bihar,Manguraha,1,PM2.5,265,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Punjab,Jalandhar,1,PM2.5,140,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Madhya Pradesh,Indore,1,PM10,171,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Karnataka,Vijayapura,1,PM10,46,Good,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Bihar,Katihar,1,PM2.5,395,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Bihar,Gaya,3,PM2.5,348,Very Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Punjab,Patiala,1,PM2.5,152,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Tamil Nadu,Salem,1,SO2,90,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,West Bengal,Howrah,3,PM2.5,285,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Tamil Nadu,Chennai,8,"PM2.5,PM10",111,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
12-01-2023,Maharashtra,Nagpur,1,PM2.5,220,Poor,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",
